time,latitude,longitude,depth,mag,place
2023-02-21T05:32:29.380Z,33.5693321,-116.6098328,12.38,1.05,"6km ENE of Anza, CA"
2023-02-21T05:15:28.557Z,61.537,-150.9364,63.2,1.6,"22 km W of Susitna, Alaska"
2023-02-21T05:11:29.350Z,33.5725,-116.6081667,11.83,0.73,"6km ENE of Anza, CA"
2023-02-21T05:09:27.370Z,33.425,-116.6068333,-0.18,0.87,"16km SSE of Anza, CA"
2023-02-21T05:05:52.000Z,33.578,-116.6028333,12.69,0.58,"7km ENE of Anza, CA"
2023-02-21T05:05:43.230Z,33.5746667,-116.6038333,12.69,0.6,"7km ENE of Anza, CA"
2023-02-21T04:27:58.490Z,33.2945,-116.7515,8.7,0.33,"6km N of Lake Henshaw, CA"
2023-02-21T04:25:22.649Z,62.4318,-149.3711,6.1,1.1,"37 km E of Chase, Alaska"
2023-02-21T04:14:39.680Z,38.8258324,-122.7884979,1.66,0.93,"6km W of Cobb, CA"
2023-02-21T03:57:14.891Z,61.3866,-150.0226,32.2,1.4,"3 km NW of Point MacKenzie, Alaska"
2023-02-21T03:51:29.991Z,2.6083,-84.4713,10,4.9,off the coast of Central America
2023-02-21T03:50:58.034Z,0.4787,96.6415,35,4.3,"223 km S of Sinabang, Indonesia"
2023-02-21T03:31:24.540Z,33.0368333,-116.4021667,5.63,1.21,"19km ESE of Julian, CA"
2023-02-21T03:25:50.970Z,33.4436667,-116.4328333,7.96,0.69,"22km NNW of Borrego Springs, CA"
2023-02-21T03:24:27.140Z,38.7728348,-122.7160034,2.09,0.8,"2km W of Anderson Springs, CA"
2023-02-21T03:23:44.150Z,38.8148346,-122.7833328,0.86,1.03,"5km NNW of The Geysers, CA"
2023-02-21T03:14:42.110Z,33.5271667,-116.7295,5.08,0.46,"6km WSW of Anza, CA"
2023-02-21T03:13:57.230Z,38.7823334,-122.7338333,1.81,0.77,"2km ENE of The Geysers, CA"
2023-02-21T03:12:31.700Z,34.047,-117.1721667,5.59,0.85,"1km SE of Redlands, CA"
2023-02-21T03:11:24.660Z,33.4836667,-116.9938333,25.03,0.73,"13km WNW of Aguanga, CA"
2023-02-21T03:00:15.600Z,33.5343333,-116.7296667,4.05,0.6,"6km WSW of Anza, CA"
2023-02-21T02:59:58.360Z,37.2806664,-121.6516647,5.45,1.69,"16km E of Seven Trees, CA"
2023-02-21T02:59:27.310Z,19.18683243,-155.5051727,32.68999863,2.16000009,"3 km WSW of Pāhala, Hawaii"
2023-02-21T02:55:06.680Z,36.0116653,-120.5738297,2.07,0.61,"18km NW of Parkfield, CA"
2023-02-21T02:54:01.133Z,-59.3594,-24.0663,10,5,South Sandwich Islands region
2023-02-21T02:49:38.180Z,33.3133333,-116.3598333,9.29,0.91,"6km NNE of Borrego Springs, CA"
2023-02-21T02:46:32.510Z,38.8268318,-122.8065033,0.46,0.36,"7km NW of The Geysers, CA"
2023-02-21T02:40:17.949Z,59.2556,-152.8306,71.1,2.6,"53 km WSW of Nanwalek, Alaska"
2023-02-21T02:33:09.671Z,52.8304,156.0595,268.763,4.6,"148 km W of Paratunka, Russia"
2023-02-21T01:37:59.450Z,38.8359985,-122.8010025,1.8,0.83,"7km WNW of Cobb, CA"
2023-02-21T01:33:22.320Z,34.3251667,-116.465,4.18,1.16,"24km N of Yucca Valley, CA"
2023-02-21T01:31:45.510Z,19.41233253,-155.2591705,12.81999969,2.09,"4 km SW of Volcano, Hawaii"
2023-02-21T01:30:12.217Z,61.6326,-149.8061,34.7,1.4,"0 km ENE of Houston, Alaska"
2023-02-21T01:22:54.130Z,38.7883339,-122.7748337,-0.02,1.31,"2km NW of The Geysers, CA"
2023-02-21T01:14:00.512Z,-19.0828,-70.1421,54.777,4,"Near the coast of Tarapaca, Chile"
2023-02-21T01:11:04.720Z,33.4778333,-116.412,17.91,0.49,"23km SSW of La Quinta, CA"
2023-02-21T00:58:48.079Z,63.6001,-150.729,13,1.7,"49 km E of Denali National Park, Alaska"
2023-02-21T00:38:29.730Z,18.02066667,-66.78333333,18.47,2.35,Puerto Rico region
2023-02-21T00:37:41.670Z,35.9538333,-117.9136667,4.87,0.79,"2km NNW of Little Lake, CA"
2023-02-21T00:23:21.700Z,19.15749931,-155.3631592,30.30999947,2.67,"13 km ESE of Pāhala, Hawaii"
2023-02-21T00:14:36.070Z,40.4603348,-124.0018311,22.58,1.7,"10km ESE of Rio Dell, CA"
2023-02-21T00:11:18.900Z,38.5413322,-122.5778351,4.35,0.98,"4km S of Calistoga, CA"
2023-02-20T23:44:12.030Z,38.8373337,-122.7738342,1.59,1.08,"5km WNW of Cobb, CA"
2023-02-20T23:37:49.480Z,35.1951667,-118.6651667,6.17,1.07,"15km E of Arvin, CA"
2023-02-20T23:25:05.470Z,33.0323333,-116.4435,10.45,1.01,"16km ESE of Julian, CA"
2023-02-20T23:21:14.375Z,38.0082,37.3722,10,4.3,"7 km NW of Nurhak, Turkey"
2023-02-20T23:19:57.243Z,64.9678,-150.6432,14.7,1,"3 km S of Manley Hot Springs, Alaska"
2023-02-20T23:05:04.070Z,37.7843323,-122.2288361,9.8,1.54,"1km S of Oakland, CA"
2023-02-20T22:43:44.077Z,38.2043,-117.8634,2.7,1.6,"29 km SE of Mina, Nevada"
2023-02-20T22:39:09.331Z,-3.4817,143.671,10,4.7,"8 km NNE of Wewak, Papua New Guinea"
2023-02-20T22:32:10.015Z,61.2148,-151.6373,71.8,1.3,"30 km WNW of Beluga, Alaska"
2023-02-20T22:22:30.130Z,19.17083359,-155.4828339,30.80999947,1.83000004,"Island of Hawaii, Hawaii"
2023-02-20T22:21:19.174Z,0.1342,127.3092,145.607,4.3,"72 km SSW of Sofifi, Indonesia"
2023-02-20T22:11:56.186Z,26.0297,125.7147,115.322,4.4,"142 km NNE of Hirara, Japan"
2023-02-20T22:02:05.780Z,38.8260002,-122.7958298,1.06,1.04,"6km W of Cobb, CA"
2023-02-20T21:45:36.380Z,38.7878342,-122.7751694,0.37,1.08,"2km NW of The Geysers, CA"
2023-02-20T21:44:06.920Z,38.8139992,-122.8270035,1.79,0.39,"7km WNW of The Geysers, CA"
2023-02-20T21:36:08.065Z,60.3763,-151.8279,80,1.6,"28 km W of Cohoe, Alaska"
2023-02-20T21:30:17.520Z,33.5488319,-117.1255035,28.81,1.36,"3km ESE of Murrieta Hot Springs, CA"
2023-02-20T21:17:28.626Z,62.1721,-148.1648,19.5,1.4,"44 km NNE of Chickaloon, Alaska"
2023-02-20T21:14:09.540Z,33.7966667,-117.0621667,24.99,0.78,"7km NNE of Green Acres, CA"
2023-02-20T21:07:35.590Z,37.5654984,-118.8181686,8.18,1.68,"12km W of Toms Place, CA"
2023-02-20T21:00:38.030Z,36.11166667,-97.90083333,6.51,1.65,"0 km NW of Hennessey, Oklahoma"
2023-02-20T20:52:15.430Z,34.4473333,-117.9636667,16.19,1.27,"8km SW of Pearblossom, CA"
2023-02-20T20:50:18.440Z,33.2401667,-116.1056667,3.95,1.4,"11km NNE of Ocotillo Wells, CA"
2023-02-20T20:46:44.290Z,19.24666595,-155.3948364,33,2.32,"10 km ENE of Pāhala, Hawaii"
2023-02-20T20:42:30.052Z,56.6258,-158.7026,100.1,2.1,"35 km S of Port Heiden, Alaska"
2023-02-20T20:33:42.290Z,18.14133333,-67.08733333,22.78,2.24,"4 km E of Hormigueros, Puerto Rico"
2023-02-20T20:28:07.610Z,33.5515,-116.7056667,5.94,0.45,"3km W of Anza, CA"
2023-02-20T20:21:00.870Z,38.8474998,-122.8178329,1.57,0.82,"9km WNW of Cobb, CA"
2023-02-20T20:13:51.210Z,-4.3832,102.1932,55.423,4.9,"64 km S of Bengkulu, Indonesia"
2023-02-20T20:06:48.620Z,35.3903333,-118.6355,4.31,1.54,"26km SSW of Bodfish, CA"
2023-02-20T19:57:49.070Z,33.028,-116.3485,11.34,0.85,"24km WSW of Ocotillo Wells, CA"
2023-02-20T19:53:32.912Z,61.659,-147.0457,21.8,1.8,"31 km SSE of Eureka Roadhouse, Alaska"
2023-02-20T19:47:44.830Z,33.6453333,-116.7251667,13.47,0.5,"10km S of Idyllwild, CA"
